LoiGiaiID,improvedParam,preservedParam,principleId,priority
990,3,36,27,0
991,3,36,2,0
992,3,36,13,0
993,3,36,25,0
994,3,37,1,0
995,3,37,28,0
996,3,37,35,0
997,3,37,19,0
998,3,37,5,0
999,3,37,7,0
1000,3,37,2,0
1001,3,38,3,0
1002,3,38,14,0
1003,3,38,35,0
1004,3,38,17,0
1005,3,38,28,0
1006,3,38,29,0
1007,3,38,19,0
1008,3,38,30,0
1009,3,39,17,0
1010,3,39,3,0
1011,3,39,14,0
1012,3,39,32,0
1013,3,39,4,0
1014,3,39,5,0
1015,3,39,7,0
1016,3,40,1,0
1017,3,40,17,0
1018,3,40,15,0
1019,3,40,25,0
1020,3,40,24,0
1021,3,40,10,0
1022,3,40,35,0
1023,3,40,28,0
1024,3,40,19,0
1025,3,41,1,0
1026,3,41,24,0
1027,3,41,4,0
1028,3,41,10,0
1029,3,41,29,0
1030,3,41,37,0
1031,3,41,25,0
1032,3,42,10,0
1033,3,42,28,0
1034,3,42,1,0
1035,3,42,25,0
1036,3,42,37,0
1037,3,42,29,0
1038,3,42,35,0
1039,3,42,2,0
1040,3,43,17,0
1041,3,43,3,0
1042,3,43,24,0
1043,3,43,26,0
1044,3,43,5,0
1045,3,43,16,0
1046,3,43,25,0
1047,3,43,2,0
1048,3,44,17,0
1049,3,44,4,0
1050,3,44,28,0
1051,3,44,14,0
1052,3,44,1,0
1053,3,44,25,0
1054,3,44,29,0
1055,3,44,3,0
1056,3,44,5,0
1057,3,45,1,0
1058,3,45,19,0
1059,3,45,24,0
1060,3,45,26,0
1061,3,45,28,0
1062,3,45,5,0
1063,3,45,2,0
1064,3,45,29,0
1065,3,46,35,0
1066,3,46,1,0
1067,3,46,3,0
1068,3,46,28,0
1069,3,46,25,0
1070,3,46,13,0
1071,3,46,5,0
1072,3,46,2,0
1073,3,47,13,0
1074,3,47,3,0
1075,3,47,32,0
1076,3,47,1,0
1077,3,47,7,0
1078,3,47,28,0
1079,3,47,17,0
1080,3,48,35,0
1081,3,48,14,0
1082,3,48,3,0
1083,3,48,32,0
1084,3,48,13,0
1085,3,48,15,0
1086,3,49,26,0
1087,3,49,35,0
1088,3,49,1,0
1089,3,49,24,0
1090,3,49,32,0
1091,3,49,28,0
1092,3,49,40,0
1093,3,50,10,0
1094,3,50,32,0
1095,3,50,1,0
1096,3,50,37,0
1097,3,50,28,0
1098,3,50,39,0
1099,4,1,35,0
1100,4,1,31,0
1101,4,1,30,0
1102,4,1,8,0
1103,4,1,28,0
1104,4,1,40,0
1105,4,1,29,0
1106,4,1,1,0
1107,4,2,35,0
1108,4,2,31,0
1109,4,2,40,0
1110,4,2,2,0
1111,4,2,28,0
1112,4,2,3,0
1113,4,2,29,0
1114,4,2,4,0
1115,4,3,3,0
1116,4,3,1,0
1117,4,3,4,0
1118,4,3,19,0
1119,4,3,17,0
1120,4,3,15,0
1121,4,3,35,0
1122,4,5,3,0
1123,4,5,4,0
1124,4,5,19,0
1125,4,5,17,0
1126,4,5,35,0
1127,4,5,1,0
1128,4,6,17,0
1129,4,6,40,0
1130,4,6,35,0
1131,4,6,31,0
1132,4,6,10,0
1133,4,6,14,0
1134,4,6,4,0
1135,4,6,7,0
1136,4,7,35,0
1137,4,7,30,0
1138,4,7,14,0
1139,4,7,7,0
1140,4,7,15,0
1141,4,7,3,0
1142,4,7,17,0
1143,4,8,14,0
1144,4,8,35,0
1145,4,8,17,0
1146,4,8,2,0
1147,4,8,4,0
1148,4,8,7,0
1149,4,8,3,0
1150,4,9,13,0
1151,4,9,14,0
1152,4,9,15,0
1153,4,9,7,0
1154,4,9,17,0
1155,4,9,3,0
1156,4,9,30,0
1157,4,10,4,0
1158,4,10,3,0
1159,4,10,31,0
1160,4,10,25,0
1161,4,10,17,0
1162,4,10,14,0
1163,4,11,7,0
1164,4,11,17,0
1165,4,11,2,0
1166,4,11,22,0
1167,4,11,13,0
1168,4,11,23,0
1169,4,11,28,0
1170,4,12,35,0
1171,4,12,3,0
1172,4,12,29,0
1173,4,12,2,0
1174,4,12,31,0
1175,4,12,7,0
1176,4,12,19,0
1177,4,13,35,0
1178,4,13,10,0
1179,4,13,1,0
1180,4,13,3,0
1181,4,13,2,0
1182,4,13,25,0
1183,4,13,5,0
1184,4,13,23,0
1185,4,13,4,0
1186,4,14,3,0
1187,4,14,14,0
1188,4,14,13,0
1189,4,14,18,0
1190,4,14,31,0
1191,4,14,9,0
1192,4,15,10,0
1193,4,15,17,0
1194,4,15,35,0
1195,4,15,3,0
1196,4,15,28,0
1197,4,15,4,0
1198,4,15,12,0
1199,4,16,35,0
1200,4,16,19,0
1201,4,16,24,0
1202,4,16,28,0
1203,4,16,30,0
1204,4,16,21,0
1205,4,16,13,0
1206,4,17,35,0
1207,4,17,3,0
1208,4,17,30,0
1209,4,17,31,0
1210,4,17,12,0
1211,4,17,14,0
1212,4,17,4,0
1213,4,17,13,0
1214,4,18,17,0
1215,4,18,19,0
1216,4,18,35,0
1217,4,18,12,0
1218,4,18,13,0
1219,4,18,8,0
1220,4,18,3,0
1221,4,18,31,0
1222,4,19,35,0
1223,4,19,17,0
1224,4,19,3,0
1225,4,19,14,0
1226,4,19,5,0
1227,4,19,7,0
1228,4,19,30,0
1229,4,20,14,0
1230,4,20,40,0
1231,4,20,3,0
1232,4,20,35,0
1233,4,20,15,0
1234,4,20,17,0
1235,4,20,30,0
1236,4,21,35,0
1237,4,21,3,0
1238,4,21,15,0
1239,4,21,17,0
1240,4,21,4,0
1241,4,21,14,0
1242,4,21,37,0
1243,4,21,39,0
1244,4,22,35,0
1245,4,22,36,0
1246,4,22,10,0
1247,4,22,24,0
1248,4,22,32,0
1249,4,22,3,0
1250,4,22,15,0
1251,4,22,17,0
1252,4,23,35,0
1253,4,23,24,0
1254,4,23,28,0
1255,4,23,3,0
1256,4,23,25,0
1257,4,23,1,0
1258,4,23,14,0
1259,4,24,3,0
1260,4,24,35,0
1261,4,24,28,0
1262,4,24,30,0
1263,4,24,15,0
1264,4,24,24,0
1265,4,24,7,0
1266,4,24,19,0
1267,4,25,28,0
1268,4,25,24,0
1269,4,25,35,0
1270,4,25,12,0
1271,4,25,10,0
1272,4,25,3,0
1273,4,25,4,0
1274,4,25,17,0
1275,4,26,14,0
1276,4,26,5,0
1277,4,26,30,0
1278,4,26,28,0
1279,4,26,10,0
1280,4,26,29,0
1281,4,26,17,0
1282,4,26,37,0
1283,4,26,18,0
1284,4,27,1,0
1285,4,27,17,0
1286,4,27,28,0
1287,4,27,3,0
1288,4,27,6,0
1289,4,27,19,0
1290,4,27,14,0
1291,4,27,4,0
1292,4,28,28,0
1293,4,28,24,0
1294,4,28,13,0
1295,4,28,3,0
1296,4,28,26,0
1297,4,28,14,0
1298,4,28,15,0
1299,4,28,17,0
1300,4,29,14,0
1301,4,29,1,0
1302,4,29,3,0
1303,4,29,35,0
1304,4,29,31,0
1305,4,29,17,0
1306,4,30,1,0
1307,4,30,3,0
1308,4,30,21,0
1309,4,30,18,0
1310,4,30,13,0
1311,4,30,2,0
1312,4,30,4,0
1313,4,30,14,0
1314,4,31,35,0
1315,4,31,17,0
1316,4,31,11,0
1317,4,31,5,0
1318,4,31,18,0
1319,4,31,12,0
1320,4,31,31,0
1321,4,31,2,0
1322,4,32,1,0
1323,4,32,19,0
1324,4,32,35,0
1325,4,32,15,0
1326,4,32,17,0
1327,4,32,31,0
1328,4,32,24,0
1329,4,32,28,0
1330,4,32,14,0
1331,4,33,1,0
1332,4,33,7,0
1333,4,33,17,0
1334,4,33,3,0
1335,4,33,31,0
1336,4,33,35,0
1337,4,33,28,0
1338,4,34,10,0
1339,4,34,25,0
1340,4,34,26,0
1341,4,34,2,0
1342,4,34,2,0
1343,4,34,12,0
1344,4,34,37,0
1345,4,35,35,0
1346,4,35,17,0
1347,4,35,31,0
1348,4,35,28,0
